datetime,open,high,low,close,volume,ticker,ema9,sma10,sma20,sma50,sma100,sma150,sma200,oa_ema9,oa_sma10,oa_sma20,oa_sma50,oa_sma100,oa_sma150,oa_sma200,OpenCloseRange$,OpenCloseRange%,GreenCandle,RedCandle,DojiCandle,NextGreen,NextRed,PrevGreen,PrevRed,GapDir,Gap$,Gap%
1993-11-16 16:00:00,46.66,46.81,46.47,46.78,492600,SPY,46.50775743471522,46.337,46.5055,46.2996,45.790200000000006,45.41413333333333,45.2452,1,1,1,1,1,1,1,0.12000000000000455,0.2571795970853077,1,0,0,0,1,0,0,,,
1993-11-17 16:00:00,46.82,46.82,46.42,46.53,39600,SPY,46.51220594777217,46.356,46.499,46.311800000000005,45.802699999999994,45.42466666666667,45.25375,1,1,1,1,1,1,1,-0.28999999999999915,-0.6193934216146928,0,1,0,0,1,1,0,Up,0.03999999999999915,0.08550662676357235
1993-11-18 16:00:00,46.48,46.57,46.28,46.41,240800,SPY,46.49176475821774,46.413,46.4895,46.32,45.8161,45.43573333333333,45.260799999999996,0,1,0,1,1,1,1,-0.07000000000000028,-0.15060240963855484,0,1,0,1,0,0,1,Down,-0.05000000000000426,-0.10745755426607408
1993-11-19 16:00:00,46.25,46.38,46.23,46.31,106000,SPY,46.4554118065742,46.437,46.486000000000004,46.318000000000005,45.828500000000005,45.4476,45.2675,0,0,0,0,1,1,1,0.060000000000002274,0.12972972972973465,1,0,0,0,1,0,1,Down,-0.1599999999999966,-0.3447532859297492
1993-11-22 16:00:00,46.2,46.22,45.88,46.04,165300,SPY,46.37232944525936,46.428000000000004,46.463,46.3088,45.8394,45.45786666666667,45.2728,0,0,0,0,1,1,1,-0.1600000000000037,-0.3463203463203543,0,1,0,0,0,1,0,Down,-0.10999999999999943,-0.2375296912114002
1993-11-23 16:00:00,46.29,46.31,46.04,46.29,89700,SPY,46.355863556207495,46.440000000000005,46.4535,46.3096,45.8553,45.471,45.280950000000004,0,0,0,0,1,1,1,0.0,0.0,0,0,1,1,0,0,1,Up,0.25,0.5430060816681147
1993-11-24 16:00:00,46.41,46.5,46.35,46.48,77200,SPY,46.380690844966,46.438,46.4525,46.3116,45.87790000000001,45.489200000000004,45.2897,1,0,0,1,1,1,1,0.07000000000000028,0.15082956259426908,1,0,0,0,0,0,0,Up,0.11999999999999744,0.2592352559948098
1993-11-26 16:00:00,46.5,46.59,46.48,46.5,1019800,SPY,46.404552675972795,46.45,46.435,46.315799999999996,45.89950000000001,45.5098,45.2975,1,1,1,1,1,1,1,0.0,0.0,0,0,1,0,1,1,0,Up,0.020000000000003126,0.043029259896736505
1993-11-29 16:00:00,46.63,46.73,46.32,46.32,517500,SPY,46.38764214077824,46.422000000000004,46.409000000000006,46.326,45.9142,45.526066666666665,45.306099999999994,1,1,1,1,1,1,1,-0.3100000000000023,-0.6648080634784521,0,1,0,1,0,0,0,Up,0.13000000000000256,0.2795698924731238
1993-11-30 16:00:00,46.28,46.56,46.25,46.34,230000,SPY,46.37811371262259,46.4,46.376999999999995,46.3438,45.929,45.54306666666667,45.3204,0,0,0,0,1,1,1,0.060000000000002274,0.12964563526361772,1,0,0,0,1,0,1,Down,-0.03999999999999915,-0.08635578583764929
1993-12-01 16:00:00,46.6,46.63,46.41,46.41,379200,SPY,46.38449097009807,46.363,46.35,46.366400000000006,45.9437,45.559333333333335,45.33520000000001,1,1,1,1,1,1,1,-0.19000000000000483,-0.40772532188842237,0,1,0,1,0,1,0,Up,0.259999999999998,0.5610703495899827
1993-12-02 16:00:00,46.5,46.56,46.41,46.53,352000,SPY,46.41359277607846,46.363,46.359500000000004,46.3838,45.9599,45.57593333333334,45.350750000000005,1,1,1,1,1,1,1,0.030000000000001137,0.06451612903226052,1,0,0,1,0,0,1,Up,0.09000000000000341,0.1939237233354954
