"Date","Time","Open","High","Low","Close","Vol","OI"
06/22/2020,16:00,307.99,311.05,306.75,310.62,74649389,0
06/23/2020,16:00,313.49,314.50,311.61,312.05,68471246,0
06/24/2020,16:00,309.84,310.51,302.10,304.09,132813492,0
06/25/2020,16:00,303.47,307.64,301.28,307.35,89467968,0
06/26/2020,16:00,306.16,306.39,299.42,300.05,127961017,0
06/29/2020,16:00,301.41,304.61,298.93,304.46,79773260,0
06/30/2020,16:00,303.99,310.20,303.82,308.36,113394772,0
07/01/2020,16:00,309.57,311.89,309.07,310.52,72396542,0
07/02/2020,16:00,314.24,315.70,311.51,312.23,69344217,0
07/06/2020,16:00,316.37,317.68,315.56,317.05,61713828,0
07/07/2020,16:00,315.38,317.52,313.37,313.78,82909963,0
07/08/2020,16:00,314.61,316.30,312.70,316.18,54638596,0
07/09/2020,16:00,316.84,317.10,310.68,314.38,83354158,0
07/10/2020,16:00,314.31,317.88,312.76,317.59,57552412,0
07/13/2020,16:00,320.13,322.71,314.13,314.84,102997659,0
07/14/2020,16:00,313.30,319.76,312.00,318.92,93657021,0
07/15/2020,16:00,322.41,323.04,319.27,321.85,87202569,0
07/16/2020,16:00,319.79,321.28,319.09,320.79,54622563,0
07/17/2020,16:00,321.88,322.57,319.74,321.72,62776916,0
07/20/2020,16:00,321.43,325.13,320.62,324.32,56311034,0
07/21/2020,16:00,326.45,326.93,323.94,325.01,57500217,0
07/22/2020,16:00,324.62,327.20,324.50,326.86,57795533,0
07/23/2020,16:00,326.47,327.23,321.48,322.96,75742166,0
07/24/2020,16:00,320.95,321.99,319.25,320.88,73766685,0
07/27/2020,16:00,321.63,323.41,320.78,323.22,48293844,0
07/28/2020,16:00,322.43,323.64,320.85,321.17,57495979,0
07/29/2020,16:00,322.12,325.73,322.08,325.12,48462423,0
07/30/2020,16:00,321.90,324.41,319.64,323.96,61863147,0
07/31/2020,16:00,325.90,326.63,321.33,326.52,85210755,0
08/03/2020,16:00,328.32,329.62,327.73,328.79,53078098,0
08/04/2020,16:00,327.86,330.06,327.86,330.06,41919678,0
08/05/2020,16:00,331.47,332.39,331.18,332.11,42866405,0
08/06/2020,16:00,331.48,334.46,331.13,334.33,43679477,0
08/07/2020,16:00,333.28,334.88,332.30,334.57,57308994,0
08/10/2020,16:00,335.06,335.77,332.96,335.57,44287294,0
08/11/2020,16:00,336.85,337.54,332.01,332.80,69603036,0
08/12/2020,16:00,335.44,338.28,335.43,337.44,53827609,0
08/13/2020,16:00,336.61,338.25,335.83,336.83,41819429,0
08/14/2020,16:00,336.41,337.42,335.62,336.84,47260756,0
08/17/2020,16:00,337.94,338.34,336.85,337.91,35482425,0
08/18/2020,16:00,338.34,339.10,336.61,338.64,38734031,0
08/19/2020,16:00,339.05,339.61,336.62,337.23,68055555,0
08/20/2020,16:00,335.36,338.80,335.22,338.28,42208028,0
08/21/2020,16:00,337.92,339.72,337.55,339.48,55108684,0
08/24/2020,16:00,342.12,343.00,341.06,342.92,48589640,0
08/25/2020,16:00,343.53,344.21,342.27,344.12,38463512,0
08/26/2020,16:00,344.76,347.86,344.17,347.57,50790237,0
08/27/2020,16:00,348.51,349.90,346.53,348.33,58034157,0
08/28/2020,16:00,349.44,350.72,348.15,350.58,48589261,0
08/31/2020,16:00,350.35,351.30,349.06,349.31,66108693,0
09/01/2020,16:00,350.21,352.71,349.24,352.60,55000811,0
09/02/2020,16:00,354.67,358.75,353.43,357.70,69540136,0
09/03/2020,16:00,355.87,356.38,342.59,345.39,148018634,0
09/04/2020,16:00,346.13,347.83,334.87,342.57,139156757,0
09/08/2020,16:00,336.71,338.06,332.88,333.21,114467529,0
09/09/2020,16:00,337.55,342.46,336.61,339.79,91463525,0
09/10/2020,16:00,341.82,342.53,332.85,333.89,90570417,0
09/11/2020,16:00,335.82,336.97,331.00,334.06,84683854,0
09/14/2020,16:00,337.49,340.38,336.93,338.46,65605868,0
09/15/2020,16:00,341.12,342.02,339.02,340.17,52921004,0
